Customer Name,Region,Product Category,Sales
Angela Rose,South,Office Supplies,185.58
Angela Wooten,East,Office Supplies,3.99
Anita Atkinson Davenport,East,Office Supplies,10.27
Anita Boyle,West,Office Supplies,4224.01
Anita Boyle,West,Technology,1200.38
Anita Hahn,East,Office Supplies,378.41
Anita Kang,Central,Furniture,6287.92
Anita Kang,Central,Office Supplies,2391.56
Anita Kang,Central,Technology,11039.74
Anita Kent,East,Office Supplies,11.35
Ann Allen,East,Furniture,215.02
Ann Allen,East,Office Supplies,1120.39
Ann Allen,East,Technology,952.03
Ann Katz,West,Office Supplies,29.92
Ann Katz,West,Technology,4911.57
Ann Pearson,Central,Furniture,811.33
Ann Pearson,Central,Office Supplies,885.73
Ann Pearson,Central,Technology,402.42
Ann Steele,West,Furniture,334.4
Ann Steele,West,Office Supplies,161.13
Ann Steele,West,Technology,3945.92
Anna Burgess,West,Furniture,65.69
Anna Burgess,West,Technology,998.67
Anna Carpenter,West,Office Supplies,6.49
Anna Carpenter,West,Technology,1211.22
Anna Ellis,Central,Furniture,9075.84
Anna Ellis,Central,Office Supplies,370.62
Anna Ellis,Central,Technology,201.17
Anna Glenn,West,Office Supplies,170.46
Anna Glenn,West,Technology,2276.16
Anna Miles,East,Office Supplies,23.7
Anna Wood,East,Furniture,497.42
Anna Wood,East,Office Supplies,666.52
Anna Wood,East,Technology,2582.96
Anne Armstrong,East,Office Supplies,492.9
Anne Barnett,West,Furniture,491
Anne Barnett,West,Office Supplies,596.57
Anne Bland,Central,Furniture,8.72
Anne Bland,Central,Office Supplies,507.65
Anne Coates,West,Office Supplies,155.59
Anne Coates,West,Technology,551.32
Anne Heller,Central,Furniture,108.64
Anne Heller,Central,Technology,36.5
Anne Kelley,East,Furniture,472.7
Anne Kelley,East,Office Supplies,635.06
Anne Kelley,East,Technology,1622.26
Anne Nguyen,South,Furniture,368.39
Anne Nguyen,South,Technology,94.62
Anne Schultz,South,Furniture,118.99
Anne Schultz,South,Office Supplies,5478.02
Anne Schultz,South,Technology,146.17
Annette Boone,East,Furniture,1400.53
Annette Cline,Central,Office Supplies,144.28
Annette Cline,Central,Technology,946.42
Annette Ferrell,East,Office Supplies,57.87
Annette McIntyre,South,Furniture,834.22
Annette McIntyre,South,Office Supplies,885.04
Annette McIntyre,South,Technology,952.26
Annette Sharpe,East,Furniture,3053.38
Annie Booth,Central,Furniture,4331.7
Annie Booth,Central,Office Supplies,8199.67
Annie Horne,South,Office Supplies,1919.28
Annie Horne,South,Technology,72.58
Annie Humphrey,East,Office Supplies,184.77
Annie Livingston,East,Furniture,2145.85
Annie Livingston,East,Office Supplies,4535.13
Annie Livingston,East,Technology,824
Annie McLaughlin,Central,Office Supplies,1382.73
Annie McLaughlin,Central,Technology,1672.9
Annie Odom,East,Furniture,297.67
Annie Odom,East,Office Supplies,801.9
Annie Odom,East,Technology,12750.99
Annie Sherrill,Central,Office Supplies,14.07
Annie Sherrill,Central,Technology,1042.54
Anthony Foley,Central,Furniture,236.71
Anthony Foley,Central,Office Supplies,151.84
Anthony Foley,Central,Technology,917.26
Anthony Goodwin,East,Furniture,9661.51
Anthony Goodwin,East,Office Supplies,13952.86
Anthony Goodwin,East,Technology,4807.17
Anthony Greer,South,Furniture,762.97
Anthony Greer,South,Office Supplies,187.24
Anthony Greer,South,Technology,7207.84
Anthony Han,South,Furniture,205.14
Anthony Han,South,Office Supplies,58.14
Anthony Han,South,Technology,1451.55
Anthony Stanley,East,Office Supplies,68.45
Anthony Vogel,East,Technology,53.24
April Bond,East,Furniture,31.97
April Bowers,Central,Furniture,3666.27
April Bowers,Central,Office Supplies,179.73
April Bowers,Central,Technology,2337.02
April Flynn,East,Technology,1590.44
April Henson,East,Furniture,3902.09
April Henson,East,Office Supplies,14.18
April Hu,West,Office Supplies,1460.93
April Hu,West,Technology,1512.83
April Whitehead,East,Office Supplies,21.9
April Winters,East,Office Supplies,526.36
Arlene Barry Kane,East,Office Supplies,604.17
Arlene Barry Kane,East,Technology,25.08
Arlene Gibbons,Central,Furniture,1170.62
Arlene Gibbons,Central,Office Supplies,685.1
Arlene Grimes,South,Furniture,3868.4
Arlene Grimes,South,Office Supplies,68.89
Arlene Long,West,Furniture,12659.67
Arlene Long,West,Office Supplies,12499.77
Arlene Lutz,Central,Furniture,56.61
Arlene Lutz,Central,Office Supplies,921.9
Arlene Lutz,Central,Technology,668.6
Arlene Poe,West,Office Supplies,619.17
Arlene Poe,West,Technology,581.2
Arlene Rouse,West,Office Supplies,2242.49
Arlene Weber,East,Office Supplies,645.38
Arlene Weber,East,Technology,412.6
Arlene Weeks,East,Furniture,110.75
Arlene Wiggins Dalton,Central,Furniture,1857.08
Arlene Wiggins Dalton,Central,Office Supplies,42.56
Arnold Floyd Blair,South,Furniture,1161.65
Arnold Floyd Blair,South,Office Supplies,374.6
Arnold Gay,West,Furniture,2631.15
Arnold Johnson,East,Office Supplies,120.81
Arthur Brady,East,Technology,64.89
Arthur Fleming,Central,Office Supplies,246.65
Arthur G Griffith,East,Office Supplies,147.61
Arthur Glass,Central,Office Supplies,151.82
Arthur Glass,Central,Technology,4361.08
Arthur Gold,South,Furniture,12.9
Arthur Gold,South,Office Supplies,201.28
Arthur Gold,South,Technology,255.88
Arthur Lowe Nash,East,Technology,89.76
Arthur Yu,East,Office Supplies,165.99
Ashley C Bridges,South,Furniture,480.26
Ashley C Bridges,South,Office Supplies,483.47
Ashley Neal,Central,Office Supplies,393.33
Ashley Neal,Central,Technology,4829.8
Ashley Reese,Central,Furniture,7626.69
Ashley Reese,Central,Office Supplies,2936.83
Ashley Reese,Central,Technology,133.32
Audrey Harmon,East,Office Supplies,403.35
Audrey Hendricks,East,Furniture,344.03
Audrey Hendricks,East,Office Supplies,783.02
Barbara McNamara,West,Furniture,1714.93
Barbara McNamara,West,Office Supplies,1426.39
Barbara McNamara,West,Technology,453.64
Barbara Saunders,East,Furniture,22.74
Barbara Saunders,East,Office Supplies,773.71
Barbara Whitfield,South,Furniture,563.93
Barbara Whitfield,South,Office Supplies,2219.64
Becky Farmer,Central,Furniture,9.51
Becky Farmer,Central,Office Supplies,142.23
Becky Farmer,Central,Technology,441.74
Becky O'Brien,West,Office Supplies,1408.64
Becky O'Brien,West,Technology,704.29
Becky Page Cline,South,Office Supplies,185.73
Becky Page Cline,South,Technology,1255.68
Becky Puckett,West,Office Supplies,52.09
Ben P Bowen,East,Furniture,68.49
Ben P Bowen,East,Office Supplies,321.15
Ben P Bowen,East,Technology,145.66
Ben Reid Bland,Central,Office Supplies,236.58
Ben Reid Bland,Central,Technology,151.23
Benjamin Bates,East,Furniture,34.18
Benjamin Bates,East,Office Supplies,480.9
Benjamin Bates,East,Technology,1135.5
Benjamin Chan,West,Furniture,3171.88
Benjamin Chan,West,Office Supplies,511.15
Benjamin Creech,East,Furniture,1978.22
Benjamin Gunter,South,Furniture,2273.1
Benjamin Gunter,South,Office Supplies,926.97
Benjamin Gunter,South,Technology,989.22
Benjamin Harrell,East,Furniture,206.59
Benjamin Harrell,East,Office Supplies,183.61
Benjamin Harrell,East,Technology,84.76
Benjamin Harvey,South,Furniture,436.51
Benjamin Harvey,South,Office Supplies,319.19
Benjamin Humphrey,Central,Furniture,1166.65
Benjamin Humphrey,Central,Office Supplies,449
Benjamin Kaufman,East,Technology,43.08
Benjamin Lam,South,Furniture,7603.98
Benjamin Lam,South,Office Supplies,776.19
Benjamin Lam,South,Technology,2149.08
Benjamin McGee,West,Office Supplies,198.97
Benjamin McGee,West,Technology,2323.14
Benjamin Norman Rodgers,Central,Office Supplies,105.18
Benjamin Norman Rodgers,Central,Technology,90.17
Benjamin Porter,Central,Furniture,2125.12
Benjamin Strauss,Central,Office Supplies,565.5
Benjamin Strauss,Central,Technology,57.99
Bernard Block Petersen,East,Office Supplies,1500
Bernard Boyette,Central,Furniture,710.45
Bernard Herman,East,Office Supplies,168.3
Bernard Strauss,Central,Furniture,379.64
Bernard Strauss,Central,Office Supplies,57.56
Bernard Strauss,Central,Technology,635.01
Bernard Thompson,South,Furniture,1050.99
Bernard Thompson,South,Office Supplies,313.06
Bernard Thompson,South,Technology,1053.42
Bernice F Day,Central,Office Supplies,711.11
Bernice F Day,Central,Technology,133.45
Bernice Stanley,Central,Technology,6843.16
Beth Brennan,East,Office Supplies,5.81
Beth Dolan,South,Furniture,2722.92
Beth Dolan,South,Office Supplies,92.02
Beth English,East,Office Supplies,1125.76
Beth McKenzie,Central,Office Supplies,84.29
Betsy Barr,East,Office Supplies,517.82
Betsy Bean,East,Technology,61.1
Betsy Gibson,Central,Furniture,1986.68
Betsy Gibson,Central,Office Supplies,1048.74
Betsy Hendricks,West,Furniture,122.48
Betsy Hendricks,West,Office Supplies,63.08
Betsy Owens,South,Office Supplies,78.66
Betsy Puckett,Central,Furniture,3185.25
Betsy Puckett,Central,Office Supplies,405.25
Betsy Puckett,Central,Technology,3599.2
Betsy Ross Robbins,East,Technology,3416.68
Betsy Wilder,Central,Office Supplies,1039.54
Betty Barbour,Central,Furniture,5603.86
Betty Barbour,Central,Technology,76.32
Betty Buckley,West,Furniture,1183.02
Betty Buckley,West,Technology,669.14
Betty Cross,East,Furniture,395.27
Betty Cross,East,Office Supplies,170.21
Betty Giles,Central,Office Supplies,16.31
Betty Giles,Central,Technology,1294.54
Betty Melvin,South,Technology,47.53
Betty Schroeder,Central,Furniture,247.35
Betty Schroeder,Central,Technology,357.39
Beverly Baker,East,Office Supplies,3738.54
Beverly Baker,East,Technology,127.16
Beverly Barnett,East,Office Supplies,68.37
Beverly Cameron,South,Furniture,1735.83
Beverly Cameron,South,Office Supplies,1603.99
Beverly Cameron,South,Technology,1062.64
Beverly Cooke Brooks,East,Technology,100.38
Beverly Keith,East,Office Supplies,124.94
Beverly Leonard,East,Furniture,63.59
Beverly Roberts,South,Furniture,422.08
Beverly Roberts,South,Office Supplies,1086.93
Beverly Roberts,South,Technology,7364.21
Bill Bowers Li,Central,Furniture,1068.45
Bill Bowers Li,Central,Office Supplies,5498.21
Bill Bowers Li,Central,Technology,134.56
Bill Hoyle,East,Technology,311.69
Bill Hudson,South,Office Supplies,869.24
Bill O'Neill,East,Furniture,240.64
Bill Terrell,West,Office Supplies,367.64
Bill Terrell,West,Technology,3438.91
Billie Chan,East,Furniture,142.24
Billie Fowler,Central,Furniture,3818.29
Billie Fowler,Central,Technology,739.62
Billie Glass,East,Furniture,2516.95
Billie Glass,East,Office Supplies,234.68
Billie Glass,East,Technology,1098.45
Billie Hensley,Central,Furniture,214.8
Billie Hensley,Central,Office Supplies,386.51
Billie Stern,East,Office Supplies,765.04
Billy Bowden,South,Technology,5647.74
Billy Bullock,South,Office Supplies,338.04
Billy Bullock,South,Technology,633.81
Billy Hale,East,Furniture,498.31
Billy Odom,West,Office Supplies,250.35
Billy Odom,West,Technology,660.68
Billy Perry Browning,East,Furniture,8752.29
Billy Perry Browning,East,Office Supplies,3878.76
Billy Perry Browning,East,Technology,2130.56
Bob Berg,South,Furniture,533.8
Bob Berg,South,Office Supplies,404.65
Bob Dickens,East,Furniture,1111.01
Bob Dickens,East,Office Supplies,11312.61
Bob Dickens,East,Technology,818.85
Bob Epstein,Central,Furniture,804.67
Bob Epstein,Central,Office Supplies,387.5
Bob Epstein,Central,Technology,1328.52
Bob Gibson,Central,Furniture,356.14
Bob Gibson,Central,Office Supplies,27.08
Bob Harrington,South,Office Supplies,663.49
Bob Jiang,West,Furniture,36.45
Bob Jiang,West,Office Supplies,81.5
Bob Randall,East,Furniture,212.94
Bobby Clements,East,Furniture,111.88
Bobby Clements,East,Office Supplies,115.7
Bobby Clements,East,Technology,631.51
Bobby Dorsey,East,Furniture,5653.46
Bobby Dorsey,East,Office Supplies,48.5
Bobby Dorsey,East,Technology,7582.15
Bobby Harmon,East,Office Supplies,49.09
Bobby Powell,Central,Furniture,180
Bobby Powell,Central,Office Supplies,691.99
Bobby Powell,Central,Technology,1815.96
Bobby Rankin,East,Office Supplies,1669.05
Bobby Walker,East,Technology,65.47
Bonnie Carver Huang,East,Office Supplies,77.61
Bonnie Chambers,West,Office Supplies,104.84
Bonnie Chambers,West,Technology,84.76
Bonnie G Keith,South,Office Supplies,566.72
Bonnie Hampton,East,Furniture,1063.39
Bonnie Hampton,East,Office Supplies,133.13
Bonnie Hampton,East,Technology,190.19
Bonnie Matthews Rowland,South,Furniture,35635.12
Bonnie Matthews Rowland,South,Office Supplies,4472.79
Bonnie Potter,West,Office Supplies,2116.24
Bonnie Potter,West,Technology,2898.04
Brad H Blake,South,Furniture,12193.94
Brad H Blake,South,Office Supplies,3706.82
Brad H Blake,South,Technology,3175.15
Brad Pearce,South,Furniture,249.25
Brad Pearce,South,Office Supplies,356.27
Brad Pearce,South,Technology,2370.52
Brad Stark,South,Office Supplies,5181.22
Brad Stark,South,Technology,222.82
Brad Teague,East,Technology,113.87
Bradley Brantley,Central,Office Supplies,132.43
Bradley Brantley,Central,Technology,178.87
Bradley Pollock,East,Technology,243.32
Bradley Schroeder,South,Office Supplies,9357.17
Bradley Schroeder,South,Technology,3599.28
Brandon Beach,Central,Furniture,5097.88
Brandon Beach,Central,Office Supplies,1521.33
Brandon Boyer,East,Office Supplies,559.84
Brandon C Yates,East,Office Supplies,830.43
Brandon E Shepherd,Central,Office Supplies,1080.99
Brandon E Shepherd,Central,Technology,5.93
Brandon Gilliam,West,Technology,1132.94
Brandon Moser,South,Furniture,86.83
Brenda Cobb,Central,Furniture,2184.18
Brenda Cobb,Central,Office Supplies,123.43
Brenda Cobb,Central,Technology,1183.89
Brenda Cowan,West,Office Supplies,132.09
Brenda Cowan,West,Technology,771.45
Brenda Gonzalez,East,Furniture,1576.52
Brenda Gonzalez,East,Technology,57.96
Brenda Jain,East,Furniture,12282.92
Brenda Jain,East,Office Supplies,123
Brenda Jain,East,Technology,1553.7
Brenda Klein,East,Furniture,3071.57
Brenda May,Central,Furniture,1969.4
Brenda May,Central,Office Supplies,204.3
Brenda May,Central,Technology,28.46
Brenda Nelson Blanchard,Central,Furniture,128.95
Brenda Nelson Blanchard,Central,Office Supplies,314.41
Brenda Nelson Blanchard,Central,Technology,1543.55
Brenda Ross,West,Furniture,3145.43
Brenda Ross,West,Office Supplies,379.68
Brenda Ross,West,Technology,46.34
Brent Bond,Central,Office Supplies,227.68
Brent Coates,South,Office Supplies,250.21
Brent Coates,South,Technology,22089.74
Brent Graves,Central,Furniture,1724.29
Brent Graves,Central,Office Supplies,32.68
Brent Walters,Central,Office Supplies,1241.52
Brent Walters,Central,Technology,519.3
Brett Boykin,West,Furniture,280.18
Brett Boykin,West,Office Supplies,173.53
Brett Boykin,West,Technology,91.1
Brett Douglas,East,Office Supplies,18.37
Brett Hawkins,West,Furniture,1332.82
Brett Hawkins,West,Office Supplies,22.23
Brett Hawkins,West,Technology,2531.27
Brett Ingram,Central,Office Supplies,78.08
Brett Schultz,West,Office Supplies,325.51
Brett Sparks,West,Technology,2048.57
Brian Bennett,East,Technology,9270.87
Brian Dougherty,Central,Furniture,239.97
Brian Grady,East,Furniture,15903.22
Brian Grady,East,Office Supplies,213.45
Brian Grady,East,Technology,2247.04
Brian Leach,Central,Office Supplies,624.43
Brian Leach,Central,Technology,489.1
Brian Meadows,West,Office Supplies,424.44
Brian Norman,West,Office Supplies,1005.23
Brian Norman,West,Technology,425.32
Brooke Arnold,West,Office Supplies,104.77
Brooke Lancaster,Central,Furniture,2376.12
Brooke Leach,South,Office Supplies,175.02
Brooke M Wood,East,Office Supplies,118.72
Brooke M Wood,East,Technology,100.96
Brooke Payne,East,Office Supplies,106.28
Brooke Shepherd,West,Furniture,48.72
Brooke Shepherd,West,Office Supplies,15.69
Brooke Shepherd,West,Technology,2448.11
Brooke Weeks Taylor,East,Office Supplies,312.59
Bruce Adcock,West,Office Supplies,622.74
Bruce H Burgess,Central,Office Supplies,154.07
Bruce Morton,Central,Office Supplies,456.95
Bruce Murray,South,Office Supplies,588.81
Bruce Norton,Central,Furniture,680.71
Bruce Norton,Central,Office Supplies,308.39
Bruce Norton,Central,Technology,189.39
Bruce Stark,East,Furniture,5873.18
Bruce Stark,East,Office Supplies,603.07
Bruce Stark,East,Technology,483.8
Bryan Pate,East,Technology,12.98
Bryan Weinstein,South,Furniture,140.79
Bryan Weinstein,South,Office Supplies,105.24
Calvin Boyette,West,Furniture,1372.94
Calvin Boyette,West,Office Supplies,317.79
Calvin Boyette,West,Technology,1862.57
Calvin Conway,East,Furniture,1719.07
Calvin Ferrell,South,Office Supplies,50.75
Calvin Harrison,East,Furniture,2230.31
Calvin Hutchinson,East,Furniture,22.74
Calvin J Marcus,South,Furniture,2642.92
Calvin J Marcus,South,Office Supplies,109.39
Calvin J Marcus,South,Technology,5822.62
Calvin Parsons Walter,Central,Office Supplies,572.6
Calvin Parsons Walter,Central,Technology,1475.99
Calvin Strickland,West,Technology,529.78
Cameron Braswell,Central,Office Supplies,236.86
Cameron Braswell,Central,Technology,1741.81
Cameron Clapp,South,Furniture,2800.81
Cameron Clapp,South,Technology,509.9
Cameron Gentry Herndon,West,Furniture,881.15
Cameron Gentry Herndon,West,Office Supplies,458.42
Cameron Kendall,East,Furniture,571.92
Cameron Kendall,East,Office Supplies,1173.1
Cameron Kendall,East,Technology,3330.82
Cameron Livingston,East,Office Supplies,613.34
Cameron Owens,South,Furniture,554.08
Cameron Owens,South,Office Supplies,708.51
Cameron Page,East,Office Supplies,4.44
Carl Branch,East,Technology,589.88
Carl Hobbs,South,Furniture,24.15
Carl Hobbs,South,Office Supplies,193.63
Carl Solomon,South,Furniture,1068.22
Carl Solomon,South,Office Supplies,537.56
Carla Braun,South,Office Supplies,957.94
Carla Hauser,South,Furniture,638.84
Carla Hauser,South,Office Supplies,85.26
Carla Riley,West,Office Supplies,18.83
Carla Riley,West,Technology,11.06
Carla S Austin,East,Office Supplies,268.16
Carla Wilson,Central,Furniture,71.26
Carla Wilson,Central,Office Supplies,79.05
Carla Wilson,Central,Technology,14380.76
Carlos Adkins,South,Furniture,5820.67
Carlos Adkins,South,Office Supplies,151.47
Carlos Berman,Central,Technology,594.18
Carlos Bynum,East,Office Supplies,20.83
Carlos Byrd,East,Furniture,614.99
Carlos Hanson,Central,Furniture,1616.45
Carlos Hanson,Central,Office Supplies,123.87
Carlos Hanson,Central,Technology,10238.95
Carlos Hess,East,Furniture,863.96
Carlos Hess,East,Office Supplies,3712.65
Carlos Hess,East,Technology,348.33
Carlos Johnson,West,Furniture,5501.11
Carlos Johnson,West,Office Supplies,8807.75
Carlos Johnson,West,Technology,5022.44
Carmen Elmore,East,Furniture,861.3
Carmen Elmore,East,Office Supplies,4591.56
Carmen McPherson,Central,Furniture,3033.88
Carmen McPherson,Central,Office Supplies,566.21
Carmen McPherson,Central,Technology,4235.03
Carol Saunders,South,Office Supplies,646.97
Carol Saunders,South,Technology,1173.75
Carol Sherrill,Central,Furniture,346.52
Carol Sherrill,Central,Office Supplies,704.26
Carol T Pitts,Central,Furniture,215.93
Carol T Pitts,Central,Office Supplies,153.08
Carol T Pitts,Central,Technology,1106.03
Carol Wood,South,Office Supplies,211.83
Carole Cash,West,Furniture,129.12
Carole Creech,South,Office Supplies,2471.39
Carole Miller,East,Furniture,9081.33
Carole Miller,East,Office Supplies,94.67
Carole Rosen,West,Office Supplies,634.57
Carole Rosen,West,Technology,9594.33
Caroline Duffy,Central,Furniture,2256.15
Caroline Duffy,Central,Office Supplies,10.3
Caroline Gibson,East,Office Supplies,117.19
Caroline Ingram,West,Office Supplies,588.55
Caroline Johnston,East,Furniture,9459.94
Caroline Johnston,East,Office Supplies,2786.73
Caroline Johnston,East,Technology,14945.44
Caroline Morton,South,Furniture,21683.82
Caroline Morton,South,Office Supplies,169.75
Caroline Morton,South,Technology,30952.44
Caroline Stone,Central,Office Supplies,267.91
Caroline Stone,Central,Technology,3911.51
Carolyn Blackwell,East,Office Supplies,11.41
Carolyn Bowling,South,Office Supplies,1576.35
Carolyn Bowling,South,Technology,1241.04
Carolyn Fisher,South,Office Supplies,218.5
Carolyn Fisher,South,Technology,6311.19
Carolyn Greer,West,Furniture,1321.81
Carolyn Greer,West,Office Supplies,720.71
